# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	246	154	259	181	0
11111	186	154	199	181	0

#WALKING RIGHT
11222	275	154	290	181	0
11223	304	154	321	181	0

#WALKING LEFT
11212	155	154	170	181	0
11213	125	154	140	181	0

#RUNNING RIGHT
11321	334	154	355	181	0
11322	334	154	355	181	0
11323	392	154	413	181	0

#RUNNING LEFT
11311	91	154	112	181	0
11312	65	154	86	181	0
11313	34	154	55	181	0

#JUMP WALK RIGHT & LEFT
11417	395	275	412	302	0
11413	35	275	52	302	0

#JUMP RUN RIGHT & LEFT
11427	394	195	413	222	0
11423	35	195	52	222	0

#SIT RIGHT & LEFT 
11521	426	239	441	256	0
11511	5	239	20	256	0

#BRACE RIGHT & LEFT 
11621	425	154	442	181	0
11611	5	154	22	181	0

#DIE
13001	215	120	234	137	0

#HOLD RIGHT
11711	276	314	289	339	0
11712	305	315	320	340	0

#HOLD LEFT
11713	156	314	169	339	0
11714	125	315	140	340	0

############ SMALL ################
 #IDLE
12121	247	0	260	15	0
12111	187	0	200	15	0

#WALK RIGHT
12222	275	0	292	15	0
12223	306	0	321	15	0

#WALK LEFT
12212	155	0	170	15	0
12213	125	0	140	15	0

#RUN RIGHT
12321	275	0	290	15	0
12322	306	0	321	15	0
12323	335	0	350	15	0

#RUN LEFT
12311	155	0	170	15	0
12312	125	0	140	15	0
12313	95	0	110	15	0

#BRACE RIGHT & LEFT
12511	6	0	19	15	0
12521	426	0	439	15	0

#JUMP WALK RIGHT & LEFT 
12413	35	80	50	95	0
12417	395	80	410	95	0

#JUMP RUN RIGHT & LEFT 
12423	65	40	80	55	0
12427	365	40	380	55	0

#HOLD RIGHT
12711	246	120	259	135	0
12712	277	120	290	135	0

#HOLD LEFT
12713	186	120	199	135	0
12714	155	120	168	135	0


#####  RACOON ###############
#IDLE
#Right
13121	242	634	263	661	0
#Left
13111	181	634	202	661	0

#WALK RIGHT
13222	270	634	293	661	0
13223	302	634	323	661	0

#WALK LEFT
13212	151	634	174	661	0
13213	121	634	142	661	0

#RUNNING RIGHT
13321	331	634	354	661	0
13322	361	634	384	661	0
13323	392	634	413	661	0

#RUNNING LEFT
13311	89	634	114	661	0
13312	60	634	83	661	0
13313	31	634	52	661	0

#JUMP WALK RIGHT & LEFT
13417	389	753	414	780	0
13413	30	753	53	780	0

#JUMP RUN RIGHT & LEFT
13427	359	753	384	780	0
13423	59	753	84	780	0

#SIT RIGHT & LEFT 
13521	390	719	413	736	0
13511	32	719	53	736	0

#BRACE RIGHT & LEFT 
13621	425	633	440	662	0
13611	5	633	20	662	0

#FRONT IDLE
13631	213	632	230	661	0

#HOLD RIGHT
13711	242	794	263	821	0
13712	272	794	293	821	0
13713	303	794	324	821	0

#HOLD LEFT
13714	182	794	203	821	0
13715	152	794	173	821	0
13716	121	794	142	821	0



# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	50	11322	50	11323	50
601	11311	50	11312	50	11313	50

#JUMP WALK
700	11417	100
701	11413	100

#JUMP RUN
800	11427	100
801	11423	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

#HOLD IDLE RIGHT
1051	11711	100

#HOLD IDLE LEFT
1052	11713	100

#HOLD WALK RIGHT
1053	11711	100	11712	100

#HOLD WALK LEFT
1054	11713	100	11714	100


################### SMALL #################
1100	12121	100
1102	12111	100


#WALK LEFT & RIGHT 
1200	12121	100	12222	100	12223	100
1201	12111	100	12212	100	12213	100

#RUN LEFT & RIGHT
1300	12321	100	12322	100	12323	100
1301	12311	100	12312	100	12313	100

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100

#HOLD IDEL RIGHT
1701	12711	100

#HOLD IDEL LEFT
1702	12713	100

#HOLD WALK RIGHT
1703	12711	100	12712	100

#HOLD WALK LEFT
1704	12713	100	12714	100

################### racoon #################
#IDLE
2100	13121	100
2102	13111	100

#WALK RIGHT & LEFT 
2200	13121	100	13222	100	13223	100
2201	13111	100	13212	100	13213	100

#RUN RIGHT & LEFT
2300	13321	100	13322	100	13323	100
2301	13311	100	13312	100	13313	100

#JUMP WALK RIGHT & LEFT
2400	13417	100
2401	13413	100
 
#JUMP RUN RIGHT & LEFT
2500	13427	100
2501	13423	100

#SIT RIGHT & LEFT 
2600	13521	100
2601	13511	100

#BRACE RIGHT & LEFT 
2700	13621	100
2701	13611	100

#ATTACK RIGHT & LEFT
2800	13631	100	13111	100	13121	100
2801	13631	100	13121	100	13111	100

#HOLD IDLE RIGHT
2901	13711	100

#HOLD IDLE LEFT
2902	13714	100

#HOLD WALK RIGHT
2903	13712	100	13713	100

#HOLD WALK LEFT
2904	13715	100	13716	100



